Camera Number,Latitude,Longitude,Main Road,Cross Street,Traffic Image,Reference Static Image
"""Camera 41""",43.61800003,-79.52580261,Gardiner,Kipling Ave.,http://opendata.toronto.ca/transportation/cameras/loc34.jpg,http://www.toronto.ca/rescu/images/loc34e.jpg
"""Camera 42""",43.61658462,-79.53132783,Gardiner,Wickman Rd,http://opendata.toronto.ca/transportation/cameras/loc42.jpg,http://www.toronto.ca/rescu/images/loc42e.jpg
"""Camera 43""",43.61484858,-79.54653595,Gardiner,HWY 427,http://opendata.toronto.ca/transportation/cameras/loc36.jpg,http://www.toronto.ca/rescu/images/loc36e.jpg
"""Camera 1""",43.65110016,-79.3470993,Lake Shore,Don Roadway,http://opendata.toronto.ca/transportation/cameras/loc1.jpg,http://www.toronto.ca/rescu/images/loc1e.jpg
"""Camera 4""",43.64780045,-79.36119843,Lake Shore,Parliament St.,http://opendata.toronto.ca/transportation/cameras/loc4.jpg,http://www.toronto.ca/rescu/images/loc4e.jpg
"""Camera 5""",43.64550018,-79.36979675,Lake Shore,Jarvis St.,http://opendata.toronto.ca/transportation/cameras/loc5.jpg,http://www.toronto.ca/rescu/images/loc5e.jpg
"""Camera 7""",43.64388257,-79.37558304,Lake Shore,Yonge,http://opendata.toronto.ca/transportation/cameras/loc7.jpg,http://www.toronto.ca/rescu/images/loc7e.jpg
"""Camera 8""",43.64275292,-79.3777449,Lake Shore,Bay,http://opendata.toronto.ca/transportation/cameras/loc8.jpg,http://www.toronto.ca/rescu/images/loc8e.jpg
"""Camera 11""",43.63977051,-79.38686371,Lake Shore,Rees St.,http://opendata.toronto.ca/transportation/cameras/loc11.jpg,http://www.toronto.ca/rescu/images/loc11e.jpg
"""Camera 16""",43.63592148,-79.40261078,Lake Shore,Rememberance,http://opendata.toronto.ca/transportation/cameras/loc15.jpg,http://www.toronto.ca/rescu/images/loc15e.jpg
"""Camera 18""",43.63244247,-79.41098022,Lake Shore,Battery Park,http://opendata.toronto.ca/transportation/cameras/loc17.jpg,http://www.toronto.ca/rescu/images/loc17e.jpg
"""Camera 19""",43.63042068,-79.42008209,Lake Shore,Ontario Place,http://opendata.toronto.ca/transportation/cameras/loc18.jpg,http://www.toronto.ca/rescu/images/loc18e.jpg
"""Camera 20""",43.63144684,-79.42917633,Lake Shore,British Columbia,http://opendata.toronto.ca/transportation/cameras/loc19.jpg,http://www.toronto.ca/rescu/images/loc19e.jpg
"""Camera 23""",43.63161796,-79.43055153,Lake Shore,Dunn,http://opendata.toronto.ca/transportation/cameras/loc134.jpg,http://www.toronto.ca/rescu/images/loc134e.jpg
"""Camera 24""",43.63223281,-79.43514838,Lake Shore,Jameson,http://opendata.toronto.ca/transportation/cameras/loc135.jpg,http://www.toronto.ca/rescu/images/loc135e.jpg
"""Camera 27""",43.6372,-79.4495,Lake Shore,Sunnyside,http://opendata.toronto.ca/transportation/cameras/loc136.jpg,http://www.toronto.ca/rescu/images/loc136e.jpg
"""Camera 28""",43.63798528,-79.45894003,Lake Shore,Colborne Lodge,http://opendata.toronto.ca/transportation/cameras/loc150.jpg,http://www.toronto.ca/rescu/images/loc150e.jpg
"""Camera 30""",43.63633916,-79.46548462,Lake Shore,Ellis,http://opendata.toronto.ca/transportation/cameras/loc137.jpg,http://www.toronto.ca/rescu/images/loc137e.jpg
"""Camera 37""",43.62309091,-79.48121309,Lake Shore,Park Lawn,http://opendata.toronto.ca/transportation/cameras/loc37.jpg,http://www.toronto.ca/rescu/images/loc37e.jpg
"""Camera 120""",43.65920999,-79.32845592,Lake Shore,Leslie St,http://opendata.toronto.ca/transportation/cameras/loc120.jpg,http://www.toronto.ca/rescu/images/loc120e.jpg
"""Camera 114""",43.648863,-79.385464,University,Adelaide,http://opendata.toronto.ca/transportation/cameras/loc114.jpg,
"""Camera 115""",43.65123,-79.381438,Bay,Richmond,http://opendata.toronto.ca/transportation/cameras/loc115.jpg,
"""Camera 117""",43.76130031,-79.30073261,Warden,Ellesmere,http://opendata.toronto.ca/transportation/cameras/loc117.jpg,
"""Camera 118""",43.81412284,-79.34866905,Steeles,Woodbine,http://opendata.toronto.ca/transportation/cameras/loc118.jpg,
"""Camera 119""",43.70504961,-79.49410915,Black Creek Dr,Lawrence Ave W,http://opendata.toronto.ca/transportation/cameras/loc119.jpg,
